Ticker,Momentum_Score,Weight,Close
TSEM.TA,4.056128465414583,0.09090909090909091,433.1
MSKE.TA,3.5467604386071585,0.09090909090909091,10.7
OPCE.TA,3.5455614211666666,0.09090909090909091,88.0
DORL.TA,3.538119212294975,0.09090909090909091,50.59
ENLT.TA,3.448617727405031,0.09090909090909091,190.0
MMHD.TA,2.9528548827377064,0.09090909090909091,481.0
NXSN.TA,2.859119769077811,0.09090909090909091,302.4
MGDL.TA,2.695651922067006,0.09090909090909091,18.51
PHOE.TA,2.614316602562388,0.09090909090909091,167.7
TASE.TA,2.2306329813066923,0.09090909090909091,127.2
HARL.TA,2.197846253913263,0.09090909090909091,166.4
